match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Ireland Vs Pakistan,Ireland,Mark Adair,4,0,24,1,6,14,1,1,1,0,T20I # 2697
Ireland Vs Pakistan,Ireland,Josh Little,3,0,17,0,5.66,11,3,0,0,0,T20I # 2697
Ireland Vs Pakistan,Ireland,Barry McCarthy,4,1,15,3,3.75,15,1,0,1,0,T20I # 2697
Ireland Vs Pakistan,Ireland,Ben White,2,0,11,1,5.5,5,1,0,0,0,T20I # 2697
Ireland Vs Pakistan,Ireland,Curtis Campher,4,0,24,2,6,12,2,1,0,0,T20I # 2697
Ireland Vs Pakistan,Ireland,Gareth Delany,1.5,0,19,0,10.36,3,0,2,1,0,T20I # 2697
Australia Vs Scotland,Australia,Ashton Agar,4,0,39,1,9.75,6,0,3,1,0,T20I # 2689
Australia Vs Scotland,Australia,Mitchell Starc,4,0,31,0,7.75,10,1,2,1,0,T20I # 2689
Australia Vs Scotland,Australia,Nathan Ellis,4,0,34,1,8.5,7,2,1,3,0,T20I # 2689
Australia Vs Scotland,Australia,Glenn Maxwell,4,0,44,2,11,8,2,4,1,0,T20I # 2689
Australia Vs Scotland,Australia,Adam Zampa,4,0,30,1,7.5,8,1,2,0,0,T20I # 2689
Australia Vs Scotland,Scotland,Michael Leask,4,0,39,0,9.75,8,2,3,0,0,T20I # 2689
Australia Vs Scotland,Scotland,Brad Wheal,3.4,1,28,1,7.63,12,4,1,0,0,T20I # 2689
Australia Vs Scotland,Scotland,Mark Watt,4,0,34,2,8.5,10,6,0,1,0,T20I # 2689
Australia Vs Scotland,Scotland,Chris Sole,3,0,33,0,11,4,3,1,1,0,T20I # 2689
Australia Vs Scotland,Scotland,Safyaan Sharif,4,0,42,2,10.5,8,2,3,3,0,T20I # 2689
Australia Vs Scotland,Scotland,Chris Greaves,1,0,4,0,4,2,0,0,0,0,T20I # 2689
England Vs Namibia,Namibia,David Wiese,2,0,6,1,3,9,1,0,0,0,T20I # 2688
England Vs Namibia,Namibia,Ruben Trumpelmann,2,0,31,2,15.5,3,2,3,1,0,T20I # 2688
England Vs Namibia,Namibia,Bernard Scholtz,2,0,24,1,12,4,1,2,0,0,T20I # 2688
